age_combined;hb_commonscore;age_combined.1;rp_average_rank_score;age_combined.2;gs_total_cites
44;9.9;45;89.69;65;29111
46;9.88;70;90.14;62;29055
40;9.83;66;90.15;58;29044
64;9.76;44;90.24;58;28894
62;9.7;62;92.77;60;28627
52;9.66;76;93.13;44;28402
58;9.65513513513514;67;93.8;68;28232
40;9.62310810810811;77;94.91;62;28224
50;9.58040540540541;58;94.95;64;27937
41;9.55905405405406;66;95.59;59;27821
55;9.48;55;96.17;66;27533
45;9.46297297297297;70;96.93;65;27348
46;9.44162162162162;57;97.24;61;27296
49;9.43;70;97.82;51;27119
47;9.37;66;97.84;67;27013
67;9.33486486486487;72;98.11;52;26770
54;9.30283783783784;56;98.34;55;26554
41;9.28148648648649;54;100.41;58;26505
70;9.27081081081081;64;100.82;65;26465
43;9.26013513513514;61;101.27;57;25778
57;9.23;55;102.7;49;25589
44;9.22810810810811;57;102.87;64;25572
44;9.22810810810811;71;105.67;57;25367
65;9.18540540540541;44;105.7;56;25354
37;9.17472972972973;62;106.19;67;25193
43;9.1;77;108.38;70;25176
52;9.07864864864865;59;110.61;67;24929
49;9.04662162162162;72;110.75;52;24870
72;9.04662162162162;59;111.38;66;24863
42;9.02;65;111.86;66;24765
50;8.98;86;112.73;61;24738
50;8.97189189189189;63;113.33;67;24692
72;8.95054054054054;61;113.47;66;24610
48;8.92918918918919;53;113.72;58;24421
57;8.91851351351351;74;113.85;52;24331
44;8.85445945945946;57;115.81;65;24121
55;8.78;51;115.91;61;24041
56;8.77972972972973;60;115.97;66;24008
62;8.75;58;116.55;69;23953
50;8.69;68;117.04;79;23928
53;8.67;63;117.18;54;23718
54;8.6622972972973;68;119.54;68;23715
34;8.64094594594595;65;119.93;47;23393
55;8.54;81;120.16;47;23160
53;8.53;65;120.26;75;22851
48;8.50216216216216;67;120.27;73;22764
56;8.49;57;120.84;55;22702
57;8.49;71;122.81;59;22698
47;8.47;62;125.85;58;22593
44;8.41;72;126.88;45;22493
56;8.4;75;126.99;57;22304
50;8.37405405405405;73;129.66;54;22167
55;8.33135135135135;61;129.75;73;22166
43;8.33;60;132.23;50;22031
46;8.28;62;134.03;48;21991
55;8.27;60;137.01;61;21926
64;8.2672972972973;57;137.64;62;21878
56;8.25662162162162;53;141.19;57;21830
48;8.18189189189189;74;141.49;69;21773
48;8.17;62;141.6;73;21360
48;8.14986486486487;52;141.62;54;21230
57;8.08;82;141.82;49;21116
45;8.05;71;141.91;83;20906
60;8.03;62;142.33;62;20895
45;7.97;57;143.27;60;20758
50;7.9;90;143.85;74;20680
60;7.89;58;144.67;57;20627
50;7.84027027027027;50;145.59;88;20622
47;7.8295945945946;77;145.95;63;20307
50;7.81891891891892;76;147.24;58;19997
59;7.74;63;148.21;51;19953
51;7.71;68;151.8;62;19817
47;7.61608108108108;58;152.74;54;19548
56;7.59472972972973;54;155.83;54;19486
50;7.59;57;156.28;58;19371
47;7.58;74;156.51;68;19311
52;7.54135135135135;65;157.97;57;19204
46;7.54;68;159.07;69;19078
49;7.50932432432433;52;163.89;53;18919
49;7.5;48;165.01;53;18748
51;7.5;47;167.86;70;18514
68;7.4772972972973;70;168.28;54;18492
39;7.4772972972973;63;169.82;57;18377
45;7.46662162162162;68;170.55;49;18326
49;7.44;59;171.31;63;18281
44;7.4345945945946;45;171.37;66;18229
52;7.43;61;171.6;44;18139
46;7.41;67;172.06;67;17943
41;7.40256756756757;53;172.42;64;17931
47;7.40256756756757;67;178.08;66;17745
56;7.40256756756757;68;178.15;58;17550
53;7.38121621621622;57;178.35;52;17550
47;7.38;60;180.18;73;17491
50;7.35986486486487;67;180.95;72;17451
48;7.35986486486487;63;181.89;65;17363
48;7.35;57;182.56;59;17348
53;7.34918918918919;104;183.2;61;17223
54;7.29581081081081;62;183.93;75;17190
47;7.29;49;184.39;59;17122
56;7.29;68;184.7;55;17109
46;7.27445945945946;66;184.87;46;17104
44;7.25310810810811;63;184.96;75;17102
51;7.25310810810811;56;185.34;53;17067
59;7.25;53;186.58;55;16896
39;7.24243243243243;72;187.15;53;16824
48;7.22108108108108;101;188.53;73;16702
52;7.11;51;188.81;68;16470
48;7.0822972972973;74;189.04;56;16417
51;7.07162162162162;73;189.14;60;16407
52;7.07;58;189.15;65;16393
49;7.02891891891892;65;191.37;42;16336
55;7.02;88;191.4;47;16318
64;6.98621621621622;68;191.57;54;16274
44;6.98621621621622;51;193.06;55;16247
41;6.98;60;198.44;70;16219
49;6.97554054054054;58;200.63;53;16173
48;6.96486486486487;60;204.48;68;16148
52;6.95418918918919;64;205.41;72;15961
62;6.94351351351351;65;205.86;60;15960
66;6.93283783783784;72;206.05;57;15928
50;6.9;54;206.55;51;15925
60;6.89;52;208.31;57;15824
48;6.88;47;208.81;62;15785
43;6.86;69;210.56;63;15778
41;6.84;73;210.7;61;15688
41;6.80472972972973;70;211.69;49;15653
51;6.8;77;212.78;61;15640
59;6.79405405405405;48;213.82;49;15632
48;6.79;75;218.06;46;15619
54;6.75135135135135;68;219.21;75;15489
54;6.75135135135135;60;219.37;57;15450
44;6.75;68;221.26;63;15437
36;6.74067567567568;66;221.88;71;15414
67;6.73;66;222.17;44;15307
44;6.73;67;222.24;53;15282
43;6.68;70;226.62;70;15282
49;6.67;54;226.67;54;15194
37;6.65527027027027;69;226.96;55;15128
53;6.65527027027027;58;227.04;71;15095
61;6.65;58;228.37;54;15093
45;6.63;45;232.48;46;15093
51;6.63;49;232.95;70;15086
64;6.61256756756757;61;233.09;46;14992
43;6.61;75;233.16;44;14877
53;6.59;63;234.63;58;14852
54;6.58;62;235.95;66;14817
67;6.55;61;236.51;61;14811
45;6.54851351351352;52;236.53;66;14785
52;6.53783783783784;56;236.73;76;14686
56;6.50581081081081;73;236.84;67;14595
52;6.48445945945946;63;237;76;14578
41;6.48445945945946;59;237.8;70;14442
45;6.48445945945946;54;239.55;57;14338
43;6.48;52;241.47;59;14327
48;6.46310810810811;63;241.61;53;14299
66;6.45243243243243;57;242.42;67;14265
64;6.45;60;243.27;55;14253
52;6.44175675675676;60;243.61;64;14220
45;6.42040540540541;95;244.19;72;14189
55;6.41;79;244.81;61;14185
64;6.39;57;246.41;53;14137
56;6.38;76;246.76;52;14123
49;6.38;61;248.05;53;14067
69;6.37;61;248.3;41;14045
41;6.37;65;249.03;43;14045
50;6.36702702702703;89;251.49;66;13951
51;6.335;72;251.64;54;13733
59;6.33;45;251.83;66;13704
51;6.33;55;251.83;46;13685
46;6.23;54;252.13;61;13680
48;6.23;61;252.41;50;13661
43;6.22;68;253.4;43;13639
50;6.22;78;256.75;67;13613
52;6.22;67;257.55;63;13558
48;6.21;63;257.7;64;13533
43;6.20689189189189;53;257.92;59;13448
39;6.18;71;259.1;61;13448
45;6.17;56;259.31;60;13386
46;6.15351351351351;57;259.83;44;13368
51;6.14;49;260.15;63;13319
66;6.13;51;260.94;61;13308
59;6.11;48;261.95;51;13193
41;6.1;53;265.44;74;13072
45;6.08;64;266.52;56;13045
57;6.08;63;269.94;51;12931
54;6.07;49;270.27;65;12927
43;6.06810810810811;46;272.59;76;12872
47;6.06;61;275.99;62;12831
56;6.05743243243243;70;278.4;51;12804
63;6.04;53;280.39;57;12796
63;6.03608108108108;53;281.72;67;12732
54;6.03608108108108;67;282.16;54;12716
46;6.02540540540541;51;282.2;53;12670
47;6.02;78;282.28;52;12619
55;6.01;79;282.3;55;12608
59;6;60;283.3;56;12594
49;5.99337837837838;70;283.49;54;12558
40;5.9827027027027;60;284.75;51;12547
68;5.97;55;285.51;73;12527
53;5.95;74;286.02;59;12526
38;5.94;54;286.55;58;12489
49;5.94;64;287.65;49;12400
52;5.93;55;289.2;53;12354
64;5.92;44;289.94;44;12339
45;5.92;98;291.69;60;12295
41;5.91864864864865;66;292.39;65;12261
45;5.88662162162162;61;294.22;58;12213
35;5.88662162162162;66;297.97;46;12210
46;5.86527027027027;56;301.78;45;12126
58;5.86;75;301.89;51;12124
41;5.8545945945946;54;304.89;50;12061
48;5.85;54;305.08;60;12031
47;5.83324324324324;43;306.14;48;11987
52;5.83;61;306.44;52;11968
35;5.81189189189189;62;307.47;60;11964
47;5.78;75;308.04;60;11961
47;5.77986486486487;59;309.1;60;11904
48;5.77;69;309.33;64;11898
36;5.76918918918919;64;310.84;61;11884
58;5.76918918918919;56;311.82;50;11867
49;5.76;55;312.28;63;11849
41;5.75;44;316.26;51;11803
42;5.75;52;317.25;67;11781
42;5.72;72;324.07;68;11745
43;5.64;64;326.59;55;11729
52;5.63;70;327.05;52;11680
48;5.63;54;327.78;59;11611
48;5.63;52;328.2;60;11504
36;5.60905405405405;66;328.33;61;11501
58;5.6;71;328.77;38;11470
49;5.59837837837838;64;328.93;60;11442
40;5.57702702702703;61;330.49;57;11392
49;5.55;73;331.82;48;11392
50;5.53432432432433;66;333.65;57;11375
46;5.53432432432433;55;335.73;44;11327
53;5.52;57;336.28;48;11316
51;5.5022972972973;46;336.97;48;11285
43;5.5022972972973;58;337.82;74;11231
48;5.48094594594595;41;337.85;52;11223
57;5.46;54;341.51;53;11215
40;5.45;34;341.79;48;11205
63;5.44;58;342.54;59;11140
39;5.43824324324325;37;343.62;53;11106
41;5.43;60;344.44;52;11102
49;5.42756756756757;65;344.92;60;11094
50;5.42756756756757;67;344.94;63;11086
44;5.42;56;345.79;45;11079
40;5.41;56;346.81;52;11043
53;5.41;51;349.17;48;10926
50;5.37418918918919;51;350.73;57;10924
41;5.37418918918919;61;350.91;40;10920
48;5.36351351351351;54;351.25;54;10899
53;5.35283783783784;65;353.1;74;10898
50;5.35;58;354.9;64;10865
47;5.35;63;356.54;39;10837
48;5.34216216216216;55;358.63;58;10831
51;5.34216216216216;65;359.62;55;10821
48;5.34;49;359.92;46;10817
42;5.33;78;360.05;52;10799
49;5.33;42;360.15;54;10717
64;5.33;53;360.7;72;10686
42;5.32;58;361.57;47;10671
41;5.31;51;362.03;49;10645
44;5.29945945945946;83;363.03;52;10608
42;5.26743243243243;58;363.11;48;10604
73;5.26743243243243;42;363.67;52;10556
46;5.26743243243243;56;364.35;45;10539
41;5.25675675675676;45;365.02;56;10526
46;5.25;50;365.79;59;10523
64;5.24;66;367.49;96;10523
46;5.23540540540541;53;369.57;60;10521
42;5.23;59;370.13;78;10510
46;5.23;65;372;57;10505
48;5.21405405405406;59;372.51;58;10465
65;5.18202702702703;60;372.94;52;10432
47;5.18;48;376.53;72;10408
52;5.18;52;377.27;51;10385
36;5.17135135135135;50;377.43;61;10318
48;5.17;57;378.18;58;10300
68;5.16067567567568;67;380.5;58;10194
37;5.16;61;381.06;53;10182
48;5.15;67;383.76;56;10178
51;5.15;49;386.22;60;10046
48;5.15;57;386.51;58;10013
45;5.14;58;390.26;45;9982
45;5.13932432432433;55;394.17;55;9969
50;5.12864864864865;58;395.61;55;9967
56;5.11797297297297;53;395.75;61;9942
57;5.11797297297297;43;396.92;63;9865
44;5.11797297297297;81;399.43;67;9863
47;5.08;73;399.8;41;9803
45;5.07;54;400.69;47;9798
39;5.07;63;400.7;52;9781
41;5.06;39;401.27;45;9726
38;5.05391891891892;67;401.7;58;9720
38;5.05;46;402.12;60;9659
42;5.03256756756757;57;403.45;48;9603
52;5.02;55;403.46;42;9588
67;5.01121621621622;64;404.02;63;9577
41;5.00054054054054;55;405.08;48;9561
42;5;69;405.93;63;9511
57;5;67;407.86;46;9466
35;4.98;73;408.83;66;9421
45;4.95;60;410.84;64;9412
71;4.95;54;411.28;60;9407
43;4.95;66;411.76;61;9403
44;4.95;62;412.57;46;9382
58;4.93;54;413.82;50;9379
62;4.92581081081081;46;413.98;49;9378
45;4.91513513513514;58;414.52;55;9374
46;4.91513513513514;58;415.36;58;9370
42;4.91;77;415.78;48;9344
42;4.90445945945946;74;416.76;65;9334
48;4.88310810810811;60;416.95;67;9244
39;4.88;56;418.89;45;9231
52;4.85108108108108;55;419.11;39;9208
53;4.84040540540541;58;420.21;61;9190
43;4.83;56;421.33;46;9155
44;4.81;54;421.99;56;9143
47;4.8;60;424.07;56;9108
54;4.78702702702703;59;425.34;59;9091
44;4.78;48;425.67;75;9074
64;4.77635135135135;61;425.77;61;9056
63;4.75;54;426.14;54;9056
61;4.75;53;427.09;54;9053
37;4.73364864864865;47;427.89;50;9052
52;4.73;54;430.96;59;9018
39;4.7122972972973;75;432.09;51;8964
46;4.68027027027027;66;433.94;50;8940
65;4.68;77;434.34;42;8932
51;4.68;55;434.85;52;8929
41;4.67;63;435.59;41;8880
42;4.65891891891892;66;435.98;66;8860
43;4.65891891891892;77;436.19;73;8769
39;4.65;74;436.19;73;8769
55;4.62689189189189;63;439.17;39;8758
53;4.62689189189189;55;439.83;69;8720
52;4.62689189189189;60;440.27;49;8679
42;4.61621621621622;50;441.22;69;8638
45;4.60554054054054;68;441.47;45;8632
61;4.60554054054054;58;443.34;50;8622
57;4.60554054054054;54;443.92;76;8614
37;4.58418918918919;57;445.73;66;8613
55;4.58;66;446.4;49;8550
44;4.57351351351351;77;446.63;46;8536
43;4.57351351351351;66;446.7;60;8522
47;4.56;64;447.34;57;8421
61;4.56;52;447.8;54;8418
59;4.55216216216216;56;451.21;60;8332
52;4.54;73;452.02;44;8328
53;4.53081081081081;61;452.31;49;8327
43;4.53;53;452.34;47;8320
50;4.53;75;452.56;61;8312
49;4.51;69;452.82;72;8301
40;4.5;46;453.4;53;8288
42;4.5;63;455.44;56;8276
44;4.49878378378378;51;455.57;43;8275
45;4.47;46;458.54;47;8270
47;4.46675675675676;86;462.15;55;8247
46;4.45;57;462.24;64;8190
44;4.44540540540541;48;463.92;58;8184
48;4.43472972972973;86;464.76;77;8140
46;4.43;64;465.07;66;8129
54;4.42405405405406;51;469.15;58;8095
36;4.41337837837838;73;470.2;55;8079
45;4.41337837837838;51;471.3;45;8075
62;4.4027027027027;43;473.28;55;8049
54;4.39202702702703;65;473.71;59;8025
38;4.38;60;475.05;69;8024
38;4.37067567567568;65;475.21;77;8022
40;4.37067567567568;92;477.36;52;8012
52;4.37067567567568;55;479.47;46;8010
51;4.36;49;479.66;66;7998
55;4.36;57;481.79;58;7968
40;4.35;58;483.47;50;7938
51;4.35;73;484.55;60;7932
40;4.32797297297297;56;487.47;67;7931
54;4.3172972972973;73;488.99;48;7924
