age_combined;hb_commonscore;age_combined.1;rp_average_rank_score;age_combined.2;gs_total_cites
63;35.7998648648649;55;2.85;83;234249
74;29.7;72;3.41;82;234001
53;27.1525675675676;72;4.62;55;212822
63;24.2167567567568;49;5.25;73;196613
66;23.57;73;7.18;84;187784
45;22.78;68;8.97;86;171856
58;22.39;58;11.4;63;161033
57;20.2133783783784;63;12.66;77;157374
54;19.96;79;13.54;95;150633
61;18.78;63;13.58;57;127275
45;18.3;70;18.04;76;127275
63;18;68;18.52;72;123695
55;17.88;86;19.55;72;123114
67;17.26;77;20.69;86;120180
58;17.0640540540541;65;21.98;104;116627
66;16.9252702702703;73;22.44;83;104252
59;16.5836486486487;66;22.46;63;97392
60;16.45;61;24.57;77;96726
54;15.92;56;25.69;68;92726
46;15.58;64;27.26;56;92219
51;15.53;77;27.49;70;80626
49;15.3772972972973;74;28.21;59;78771
49;15.2385135135135;60;28.43;58;70857
51;15.1210810810811;64;28.89;68;70425
67;15.0997297297297;63;29.94;58;67966
71;14.33;58;31.66;58;64614
54;14.27;62;32.18;61;61424
60;14.25;57;32.39;61;57695
54;14.0001351351351;76;32.79;58;56828
57;14;70;32.79;56;56464
66;13.99;73;37.63;60;56302
51;13.71;63;38.13;68;56206
57;13.6905405405405;61;38.52;61;52378
65;13.6478378378378;64;40.45;70;51729
46;13.64;63;43.49;71;51489
46;13.5731081081081;49;43.87;59;49529
61;13.5197297297297;75;45.08;53;49491
42;13.3382432432432;61;45.61;56;49231
62;13.26;56;46.7;64;49112
71;12.8578378378378;70;46.93;61;47010
45;12.8364864864865;47;47.89;64;46269
59;12.69;59;48.95;55;46009
52;12.58;64;49;64;45708
58;12.49;53;49.2;62;45547
60;12.3774324324324;58;49.38;63;44889
65;12.33;71;50.2;74;44721
55;12.28;56;52.24;58;44503
49;12.2706756756757;58;54.83;79;44448
41;12.1852702702703;59;55.01;76;44160
64;12.07;73;55.74;57;43943
64;11.9717567567568;61;55.99;71;43787
50;11.96;62;58.61;63;42851
52;11.897027027027;64;59.88;74;42494
60;11.8543243243243;57;60.52;102;41990
53;11.73;74;61.24;61;40692
50;11.6835135135135;75;62.14;52;40027
60;11.6728378378378;55;65.18;53;39629
60;11.6087837837838;76;66.97;66;37823
66;11.33;64;67.16;60;37344
63;11.3205405405405;82;69.12;62;37265
53;11.26;59;70.76;55;36814
56;11.15;64;71.15;55;36603
42;10.96;62;72.84;56;36544
53;10.9;77;74.09;81;36102
64;10.8721621621622;65;74.16;58;35899
56;10.5945945945946;58;75.11;70;35859
59;10.58;64;76.33;65;35612
47;10.4878378378378;58;76.74;70;35518
43;10.37;70;77.84;59;35332
48;10.26;69;78.3;63;35231
47;10.21;74;78.92;63;35005
50;10.14;69;82.61;58;34690
52;10.1;64;85.27;65;33656
64;10.0928378378378;53;86.08;53;31936
44;10.08;64;87.18;59;31448
56;10.0714864864865;50;87.2;57;31183
51;10.01;68;87.82;52;30150
46;9.97;55;88.38;49;29666
53;9.95405405405405;56;88.86;82;29589
49;9.9327027027027;70;89.16;59;29144
